
> cs348-project@0.1.0 sql
> tsx lib/sql/exec.ts --file=../../m2/feature1.sql

postgres url:  undefined
┌─────────┬────────────────────────────────────────┬────────────┬────────────────────────┬─────────────┬──────────────────────────┐
│ (index) │                user_id                 │  username  │         email          │   pw_hash   │        created_at        │
├─────────┼────────────────────────────────────────┼────────────┼────────────────────────┼─────────────┼──────────────────────────┤
│    0    │ '7a2415a8-412b-4dd1-b09d-3ddef7162d76' │ 'user_01'  │ 'user_01@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.351Z │
│    1    │ 'ce8e2aa2-7245-47cd-9ef6-a3ac7c00638d' │ 'user_02'  │ 'user_02@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.368Z │
│    2    │ '2beae411-df0f-419b-9078-20c2870e549b' │ 'user_03'  │ 'user_03@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.369Z │
│    3    │ 'f9b457a7-d004-41c3-a52e-7296004b80ca' │ 'user_04'  │ 'user_04@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.369Z │
│    4    │ '7c153cc9-839d-43e4-b798-3d1e7a850492' │ 'user_05'  │ 'user_05@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.370Z │
│    5    │ '80f742c1-cd95-48ab-8f05-cc3e80d0f348' │ 'user_06'  │ 'user_06@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.370Z │
│    6    │ 'a63cd0c5-4467-4b79-aa92-863d5c8ca493' │ 'user_07'  │ 'user_07@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.371Z │
│    7    │ 'fb764883-08e9-47f4-8849-8d44e2c52ec9' │ 'user_08'  │ 'user_08@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.372Z │
│    8    │ 'db9d0646-d43a-43cb-9b6b-8d3e7d430f53' │ 'user_09'  │ 'user_09@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.372Z │
│    9    │ '13f8bdf9-7f2f-48ad-b746-8816c5f0456b' │ 'user_10'  │ 'user_10@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.373Z │
│   10    │ 'dbf0f032-237a-4b9e-adf0-c49386ff42a4' │ 'user_11'  │ 'user_11@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.373Z │
│   11    │ '3aa18fe3-ade2-4bd8-a77c-d0d8eda530f3' │ 'user_12'  │ 'user_12@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.374Z │
│   12    │ '89235b7c-bb8c-4bd0-9991-cf63a1ab4a6c' │ 'user_13'  │ 'user_13@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.374Z │
│   13    │ 'ce5fd3d4-d7fd-4cf8-b3d4-1f67d53f3e8f' │ 'user_14'  │ 'user_14@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.375Z │
│   14    │ '8ae56328-39a1-4712-ad14-5832313a91f0' │ 'user_15'  │ 'user_15@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.376Z │
│   15    │ '108f2ec8-bf73-4c03-a852-71a42a8be821' │ 'user_16'  │ 'user_16@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.376Z │
│   16    │ 'a7f38b53-3140-4988-bcbd-f96df0b8c172' │ 'user_17'  │ 'user_17@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.377Z │
│   17    │ 'e61f8eb6-4043-4c02-b64f-83c7149f80a1' │ 'user_18'  │ 'user_18@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.377Z │
│   18    │ 'e5020271-60b4-4b15-becc-9432ec996a26' │ 'user_19'  │ 'user_19@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.378Z │
│   19    │ 'c26adb55-76e8-421f-997a-f376392a8af6' │ 'user_20'  │ 'user_20@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.378Z │
│   20    │ 'c2bdfffc-35a6-4180-ad96-58f2e1fb4b21' │ 'user_21'  │ 'user_21@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.379Z │
│   21    │ 'c4f01a53-e528-4ea5-9723-65ef8d510c8e' │ 'user_22'  │ 'user_22@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.379Z │
│   22    │ '39d82adf-e9cc-406e-a6c0-e8497cf2f2d8' │ 'user_23'  │ 'user_23@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.380Z │
│   23    │ '7d4859bb-480a-455c-ba5a-b28ef2256800' │ 'user_24'  │ 'user_24@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.380Z │
│   24    │ 'd76528e4-bbc4-4947-9790-a8e9bebffd19' │ 'user_25'  │ 'user_25@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.381Z │
│   25    │ '307a993a-f803-420c-93fa-0a2654695c4e' │ 'user_26'  │ 'user_26@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.381Z │
│   26    │ 'c9e4c276-e11b-4b8f-8d93-a85ca3b92d3c' │ 'user_27'  │ 'user_27@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.382Z │
│   27    │ '77f53fa6-f673-4637-8dab-7a5de2dff4c8' │ 'user_28'  │ 'user_28@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.383Z │
│   28    │ 'fd59da2c-66bc-4406-accf-032986701af5' │ 'user_29'  │ 'user_29@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.383Z │
│   29    │ 'bb7b0c56-b4e5-4587-b6e2-073c6727d545' │ 'user_30'  │ 'user_30@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.384Z │
│   30    │ '56aea168-86e7-48ae-b084-06ea170f5f07' │ 'user_31'  │ 'user_31@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.384Z │
│   31    │ '370db4ef-fd7c-4b9a-952e-200df344645f' │ 'user_32'  │ 'user_32@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.385Z │
│   32    │ 'fed09e1b-3849-4d7e-aa5a-326ec3e7c4ef' │ 'user_33'  │ 'user_33@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.385Z │
│   33    │ '73cbe1c5-79b6-4912-918d-466c3c84053e' │ 'user_34'  │ 'user_34@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.386Z │
│   34    │ 'a429a699-7a26-467f-8816-053bf995bd72' │ 'user_35'  │ 'user_35@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.386Z │
│   35    │ '295764a4-9932-4189-8f8c-54193df0e94d' │ 'user_36'  │ 'user_36@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.387Z │
│   36    │ 'e341024b-3e56-445b-ae7b-320f64906973' │ 'user_37'  │ 'user_37@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.388Z │
│   37    │ 'b2a7097e-ff34-44ad-ba00-523eded07a2e' │ 'user_38'  │ 'user_38@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.388Z │
│   38    │ '07899d0c-28ff-43d1-8eb0-4ae53521449e' │ 'user_39'  │ 'user_39@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.388Z │
│   39    │ '56c27360-c8b5-4bb3-b8ab-4aa088828819' │ 'user_40'  │ 'user_40@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.388Z │
│   40    │ '28eca853-d7cb-44db-bf18-3910d9918dc8' │ 'user_41'  │ 'user_41@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.389Z │
│   41    │ 'd5c0c8e2-a372-4a2d-9262-7f9a31c9fd6d' │ 'user_42'  │ 'user_42@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.389Z │
│   42    │ '486705f7-8f96-4ad2-a0ea-59d98aa3fb5f' │ 'user_43'  │ 'user_43@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.389Z │
│   43    │ '8bdcd6de-74e3-42e8-b0e1-7a3515ddb1bf' │ 'user_44'  │ 'user_44@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.390Z │
│   44    │ 'a90dcb85-1ec9-4181-ad91-e7a396423004' │ 'user_45'  │ 'user_45@example.com'  │ 'hashed_pw' │ 2025-07-08T21:00:17.390Z │
